Year,Cong,PLNum,Filename
1954,83,83-577,PL83-577_1954_SEC.txt
1964,88,88-353,PL88-353_1964_FederalCreditUnionActAmendment.txt
1964,88,88-593,PL88-593_1964_ReportOfChangesInControlOfFederallyInsuredBanks.txt
1968,90,90-321,PL90-321_1968_ConsumerCreditProtectionAct.txt
1962,87,87-592,PL87-592_1962_SECActivities.txt
1966,89,89-485,PL89-485_1966_BankHoldingCompanyActAmendmentsOf1966.txt
1966,89,89-356,PL89-356_1966_BankMergerLawRevised.txt
1964,88,88-563,PL88-563_1964_InterestEqualizationTaxAct.txt
1966,89,89-429,PL89-429_1966_ParticipationSalesAct1966.txt
1956,84,84-511,PL84-511_1956_BankHoldingCompanyAct.txt
1960,86,86-463,PL86-463_1960_BankMergers.txt
1959,86,86-374,PL86-374_1959_BankingAndCurrency.txt
1967,90,90-59,PL90-59_1967_InterestEqualizationTaxExtensionAct1967.txt
1966,89,89-597,PL89-597_1966_InterestRateControlAct1966.txt
1950,81,81-797,PL81-797_1950_FDIC.txt
1966,89,89-695,PL89-695_1966_FinancialInstitutionsSupervisoryAct.txt
1964,88,88-467,PL88-467_1964_SecuritiesActAmendments1964.txt
1959,86,86-114,PL86-114_1959_VaultCashBill.txt
1967,90,90-87,PL90-87_1967_ExtensionOfInterestRateControls.txt
1965,89,89-243,PL89-243_1965_InterestEqualizationTaxExtensionAct1965.txt
1964,88,88-560,PL88-560_1964_HousingActExpansion.txt
1965,89,89-289,PL89-289_1965_AmendmentToSecuritiesActOf1933.txt
1960,86,86-746,PL86-746_1960_NationalHousingAct.txt
1968,90,90-439,PL90-439_1968_SecuritiesDisclosureAct.txt
1968,90,90-437,PL90-437_1968_ExtensionOfMarginRequirementsToOTCSecurities.txt
1968,90,90-505,PL90-505_1968_InterestRateControls.txt
1968,90,90-255,PL90-255_1968_S_LHoldingCompanyAmendments.txt
1969,91,91-128,PL91-128_1969_InterestEqualizationTaxExtensionAct1969.txt
1969,91,91-151,PL91-151_1969_CreditControlAct.txt
1970,91,91-508,PL91-508_1970_CurrencyAndForeignTransactionsReportingAct.txt
1970,91,91-547,PL91-547_1970_InvestmentCompanyAmendmentsAct.txt
1970,91,91-607,PL91-607_1970_BankHoldingCompanyActAmendments.txt
1970,91,91-206,PL91-206_1970_FederalCreditUnions.txt
1970,91,91-598,PL91-598_1970_SecuritiesInvestorProtectionAct.txt
1970,91,91-468,PL91-468_1970_Federal Credit Union Act.txt
1970,91,91-567,PL91-567_1970_StockholderProtection.txt
1970,91,91-565,Pl91-565_1970_SmallBusinessSecuritiesExemption.txt
1971,92,92-165,PL92-165_1971_AmendmentsToInvestmentCompanyAct.txt
1971,92,92-9,PL92-9_1971_InterestEqualizationTaxExtensionAct1971.txt
1971,92,92-221,PL92-221_1971_TemporaryInsuranceCreditUnions.txt
1973,93,93-100,PL93-100_1973_InterestRateControlsExtension.txt
1973,93,93-63,PL93-63_1973_InterestOnSavingsDeposits.txt
1973,93,93-224,PL93-224_1973_FederalFinancingBankAct.txt
1973,93,93-17,PL93-17_1973_InterestEqualizationTaxExtensionAct1973.txt
1974,93,93-406,PL93-406_1974_ERISA.txt
1974,93,93-501,PL93-501_1974_InterestRatesPayable.txt
1974,93,93-495,PL93-495_1974_FairCreditBillingAct.txt
1974,93,93-383,PL93-383_1974_Housing_CommunityDevelopmentAct.txt
1974,93,93-533,PL93-533_1974_RealEstateSettlementProceduresAct.txt
1974,93,93-463,PL93-463_1974_CommoditiesFuturesTradingCommissionAct.txt
1975,94,94-205,PL94-205_1975_RealEstateSettlementProcedure ActAmendments.txt
1975,94,94-200,PL94-200_1975_HomeMortgageDisclosureAct.txt
1975,94,94-29,PL94-29_1975_SecuritiesActAmmendments.txt
1976,94,94-240,PL94-240_1976_TruthInLeasing.txt
1976,94,94-239,PL94-239_1976_EqualCreditOpportunityActAmendments.txt
1977,95,95-188,PL95-188_1977_InterestRateCeilings.txt
1977,95,95-128,PL95-128_1977_CommunityDevelopmentAct1977.txt
1978,95,95-405,PL95-405_1978_FuturesTradingAct.txt
1978,95,95-630,PL95-630_1978_FinancialInstitutionsRegulatory_InterestRateControl Act.txt
1978,95,95-369,PL95-369_1978_InternationalBankingAct.txt
1979,96,96-3,PL96-3_1979_A bill to repeal a section of PL 95-630.txt
1979,96,96-161,PL96-161_1979_InterestRateAmendments.txt
1980,96,96-477,PL96-477_Thomas.txt
1980,96,96-221,PL96-221_1980_DIDMCA.txt
1980,96,96-433,PL96-433_1980_FIRIRCA.txt
1982,97,97-320,PL97-320_1982_DepositoryInstitutionsAct.txt
1982,97,97-444,PL97-444_1982_FuturesTradingAct1982.txt
1983,98,98-181,PL98-181_1983_HousingAssistancePrograms.txt
1984,98,98-440,PL98-440_1984_MortgageBill.txt
1984,98,98-376,PL98-376_1984_InsiderTradingSanctionsAct.txt
1986,99,99-571,PL99-571_1986_GovernmentSecuritiesAct1986.txt
1986,99,99-641,PL99-641_1986_FuturesTradingAct.txt
1987,100,100-86,PL100-86_1987_CEBA.txt
1988,100,100-704,PL100-704_1988_InsiderTrading_SecuritiesFraudEnforcementAct.txt
1988,100,100-583,PL100-583_1988_FairCredit_ChargeCardDisclosureAct.txt
1989,101,101-73,PL101-73_1989_FIRREA.txt
1990,101,101-647,PL101-647_1990_CrimeControlAct.docx
1990,101,101-550,PL101-550_1990_SecuritiesActAmendments.txt
1990,101,101-432,PL101-432_1990_MarketControlAuthority.txt
1990,101,101-429,PL101-429_1990_SecuritiesEnforcementRemedies_PennyStockReformAct.txt
1990,101,101-508,PL101-508_1990_FederalDepositInsuranceAssessments.txt
1991,102,102-18,PL102-18_1991_ResolutionTrustCorporationFundingAct.txt
1991,102,102-233,PL102-233_1991_RTCRefinancingRestructuring_ImprovementAct.txt
1991,102,102-242,PL102-242_1991_FDICIA.txt
1992,102,102-550,PL102-550_1992_Housing_CommunityDevelopmentAct.txt
1992,102,102-546,PL102-546_1992_FuturesTradingPracticesAct.txt
1993,103,103-204,PL103-204_1993_Resolution Trust Corporation Completion Act.txt
1993,103,103-202,PL103-202_1993_GovtSecuritiesActAmendments.txt
1994,103,103-328,PL103-328_1994_RiegleNealAct.txt
1994,103,103-325,PL103-325_1994_RiegleCommunityDevelopment_RegImprovementAct.txt
1995,104,104-12,PL104-12_1995_Truth in Lending Class Action Relief Act.txt
1995,104,104-29,PL104-29_1995_TruthInLendingAmendments1995.txt
1995,104,104-67,PL104-67_1995_PrivateSecuritiesLitigationReformAct.txt
1995,104,104-9,PL104-9_1995_CFTCReauthorizationAct.txt
1996,104,104-290,PL104-290_1996_NSMIA.txt
1996,104,104-208,PL104-208_1996_EconomicGrowth_RegulatoryPaperworkReductionAct.txt
1998,105,105-353,PL105-353_1998_SecuritiesLitigationUniformStandardsAct1998.txt
1998,105,105-219,PL105-219_1998_CreditUnionMembershipAccessAct.txt
1999,106,106-102,PL106-102_1999_GrammLeachBlileyAct1999.txt
2000,106,106-554,PL106-554_2000_CommoditiesFuturesModernizationAct2000.txt
2000,106,106-569,PL106-569_2000_AmericanHomeownership_EconomicOpportunityAct2000.txt
2001,107,107-56,PL107-56_2001_IntMoneyLaunderingAbatement_FinancialAntiTerrorismAct2001.docx
2002,107,107-204,PL107-204_2002_SarbanesOxleyAct2002.txt
2002,107,107-123,PL107-123_2001_Investor_CapitalMarketsFeeReliefAct.txt
2003,108,108-198,PL108-198_2003_PreservingIndFinlInstitutionExamAct2003.txt
2003,108,108-159,PL108-159_2003_Fair_AccurateCreditTransactionsAct2003.txt
2005,109,109-8,PL109-8_2005_BankruptcyAbusePrevention_ConsumerProtectionAct2005.txt
2005,109,109-173,PL109-173_2005_FedlDepInsReformConformingAmendmentsAct2005.txt
2006,109,109-351,PL109-351_FinancialServicesRegulatoryReliefAct2006.txt
2006,109,109-291,PL109-291_2006_CreditRatingAgencyReformAct2006.txt
2006,109,109-171,PL109-171_2005_FDICReformAct.txt
2007,109,109-473,PL109-473_2007_FDICActAmendment.txt
2008,110,110-343,PL110-343_2008_TroubledAssetsReliefProgram.txt
2008,110,110-289,PL110-289_2008_Housing_EconomicRecoveryAct2008.txt
2008,110,110-246,PL110-246_2008_CFTCReauthorizationAct2008.txt
2009,111,111-21,PL111-21_2009_FraudEnforcement_RecoveryAct2009.txt
2009,111,111-15,PL111-15_2009_SpecialInspectorGeneralForTARP2009.txt
2009,111,111-24,PL111-24_2009_ToAmendTruthInLendingAct.txt
2009,111,111-22,PL111-22_2009_ForeclosureMitigation_CreditAvailability.txt
2009,111,111-5,PL111-5_2009_AmericanRecovery_ReinvestmentAct2009.txt
2010,111,111-203,PL111-203_2013_Dodd Frank Wall Street Reform and Consumer Protection Act.txt
